Number,jid,owner,seq,scn,shot,dept,version,title,first_task,last_task,spool_time,start_time,stop_time,pause_time,num_tasks,num_done,num_ready,num_error,num_active,num_blocked,elapsed_secs,tid,title,state,ready_time,active_time,state_time,retry_count
1,2516,subash,seq18,scn35,sh028,lighting,v004,seq18_scn35_sh028_lig_lighting_v004,1001,1059,2015-06-01 02:04:57+08,2015-06-08 18:05:50.871+08,2015-06-08 18:06:29.196+08,,60,60,0,0,0,0,0.0
,,,,,,,,,,,,,,,,,,,,,,1,Renders 1001-1059,done,2015-06-08 18:05:33.120461+08,2015-06-08 18:05:50.871047+08,2015-06-08 18:06:29.185+08,1
,,,,,,,,,,,,,,,,,,,,,,2,Processing 1001-1001,done,2015-06-08 05:22:38.687+08,2015-06-08 05:25:00.769922+08,2015-06-08 12:10:09.371+08,3
,,,,,,,,,,,,,,,,,,,,,,3,Processing 1002-1002,done,2015-06-01 02:04:57.364+08,2015-06-05 20:28:34.940376+08,2015-06-06 02:49:09.01+08,0
,,,,,,,,,,,,,,,,,,,,,,4,Processing 1003-1003,done,2015-06-08 05:22:38.68951+08,2015-06-08 05:26:14.377705+08,2015-06-08 12:14:33.761+08,3
,,,,,,,,,,,,,,,,,,,,,,5,Processing 1004-1004,done,2015-06-05 23:25:58.779+08,2015-06-05 23:27:17.787436+08,2015-06-06 06:11:56.049+08,1
,,,,,,,,,,,,,,,,,,,,,,6,Processing 1005-1005,done,2015-06-01 02:04:57.364+08,2015-06-05 20:36:48.098415+08,2015-06-06 02:42:57.255+08,0
,,,,,,,,,,,,,,,,,,,,,,7,Processing 1006-1006,done,2015-06-01 02:04:57.364+08,2015-06-05 20:37:02.956322+08,2015-06-06 02:50:07.028+08,0
,,,,,,,,,,,,,,,,,,,,,,8,Processing 1007-1007,done,2015-06-01 02:04:57.364+08,2015-06-05 20:37:08.050346+08,2015-06-06 02:45:46.716+08,0
,,,,,,,,,,,,,,,,,,,,,,9,Processing 1008-1008,done,2015-06-06 02:23:24.53+08,2015-06-06 03:35:10.164294+08,2015-06-06 10:05:55.151+08,2
,,,,,,,,,,,,,,,,,,,,,,10,Processing 1009-1009,done,2015-06-01 02:04:57.364+08,2015-06-05 20:39:59.731957+08,2015-06-06 02:48:34.961+08,0
,,,,,,,,,,,,,,,,,,,,,,11,Processing 1010-1010,done,2015-06-01 02:04:57.364+08,2015-06-05 20:40:19.765198+08,2015-06-06 02:54:12.743+08,0
,,,,,,,,,,,,,,,,,,,,,,12,Processing 1011-1011,done,2015-06-08 05:22:38.687+08,2015-06-08 05:27:07.226631+08,2015-06-08 12:20:11.149+08,3
,,,,,,,,,,,,,,,,,,,,,,13,Processing 1012-1012,done,2015-06-08 05:22:38.687+08,2015-06-08 05:27:26.428914+08,2015-06-08 12:09:52.371+08,3
,,,,,,,,,,,,,,,,,,,,,,14,Processing 1013-1013,done,2015-06-01 02:04:57.364+08,2015-06-05 20:46:43.43067+08,2015-06-06 02:56:23.326+08,0
,,,,,,,,,,,,,,,,,,,,,,15,Processing 1014-1014,done,2015-06-08 05:22:38.687+08,2015-06-08 05:28:43.403659+08,2015-06-08 12:09:53.876+08,5
,,,,,,,,,,,,,,,,,,,,,,16,Processing 1015-1015,done,2015-06-01 02:04:57.364+08,2015-06-05 20:50:24.119657+08,2015-06-06 02:59:54.634+08,0
