Number,jid,owner,seq,scn,shot,dept,version,title,first_task,last_task,spool_time,start_time,stop_time,pause_time,num_tasks,num_done,num_ready,num_error,num_active,num_blocked,elapsed_secs,tid,title,state,ready_time,active_time,state_time,retry_count
1,18235,ashish,seq05B,scn14,sh002,compositing,v003,seq05B_scn14_sh002_cmp_compositing_v003,1001,1080,2015-05-09 12:27:37+04,2015-05-09 12:27:57.33+04,2015-05-09 12:43:12.761+04,,81,81,0,0,0,0,1650.80004883
,,,,,,,,,,,,,,,,,,,,,,1,Renders 1001-1080,done,,,2015-05-09 12:43:12.756988+04,0
,,,,,,,,,,,,,,,,,,,,,,2,Processing 1001,done,2015-05-09 12:27:38.386+04,2015-05-09 12:27:57.329793+04,2015-05-09 12:28:22.359+04,0
,,,,,,,,,,,,,,,,,,,,,,3,Processing 1002,done,2015-05-09 12:27:38.386+04,2015-05-09 12:28:22.37336+04,2015-05-09 12:28:43.399+04,0
,,,,,,,,,,,,,,,,,,,,,,4,Processing 1003,done,2015-05-09 12:27:38.386+04,2015-05-09 12:28:43.411511+04,2015-05-09 12:29:04.439+04,0
,,,,,,,,,,,,,,,,,,,,,,5,Processing 1004,done,2015-05-09 12:27:38.386+04,2015-05-09 12:29:04.450876+04,2015-05-09 12:29:25.477+04,0
,,,,,,,,,,,,,,,,,,,,,,6,Processing 1005,done,2015-05-09 12:27:38.386+04,2015-05-09 12:29:25.48895+04,2015-05-09 12:29:46.516+04,0
,,,,,,,,,,,,,,,,,,,,,,7,Processing 1006,done,2015-05-09 12:27:38.386+04,2015-05-09 12:29:46.526796+04,2015-05-09 12:30:08.556+04,0
,,,,,,,,,,,,,,,,,,,,,,8,Processing 1007,done,2015-05-09 12:27:38.386+04,2015-05-09 12:30:08.567118+04,2015-05-09 12:30:29.594+04,0
,,,,,,,,,,,,,,,,,,,,,,9,Processing 1008,done,2015-05-09 12:27:38.386+04,2015-05-09 12:30:29.605124+04,2015-05-09 12:30:50.631+04,0
