Number,jid,owner,seq,scn,shot,dept,version,title,first_task,last_task,spool_time,start_time,stop_time,pause_time,num_tasks,num_done,num_ready,num_error,num_active,num_blocked,elapsed_secs,tid,title,state,ready_time,active_time,state_time,retry_count
1,25986,anshul,seq37,scn67,sh186,lightingCharsSHADOW,v001,seq37_scn67_sh186_lig_lightingCharsSHADOW_v001,1009,1081,2015-07-18 20:02:37+04,2015-07-19 07:25:24.762+04,2015-07-19 07:35:39.65+04,,74,74,0,0,0,0,0.0
,,,,,,,,,,,,,,,,,,,,,,1,Renders 1009-1081,done,,,2015-07-19 07:35:26.839294+04,0
,,,,,,,,,,,,,,,,,,,,,,2,Processing 1009-1009,done,2015-07-19 01:00:48.643+04,2015-07-19 01:00:48.649429+04,2015-07-19 01:09:02.088+04,6
,,,,,,,,,,,,,,,,,,,,,,3,Processing 1010-1010,done,2015-07-19 01:00:48.643+04,2015-07-19 01:00:50.316137+04,2015-07-19 01:09:22.741+04,6
,,,,,,,,,,,,,,,,,,,,,,4,Processing 1011-1011,done,2015-07-19 01:00:48.643+04,2015-07-19 01:01:06.184422+04,2015-07-19 01:09:06.546+04,6
,,,,,,,,,,,,,,,,,,,,,,5,Processing 1012-1012,done,2015-07-18 23:43:43.570021+04,2015-07-18 23:43:43.571519+04,2015-07-18 23:52:34.009+04,1
,,,,,,,,,,,,,,,,,,,,,,6,Processing 1013-1013,done,2015-07-18 23:43:43.562+04,2015-07-18 23:43:52.005541+04,2015-07-18 23:52:58.446+04,0
,,,,,,,,,,,,,,,,,,,,,,7,Processing 1014-1014,done,2015-07-18 23:45:15.94048+04,2015-07-18 23:45:31.818125+04,2015-07-18 23:53:37.213+04,5
,,,,,,,,,,,,,,,,,,,,,,8,Processing 1015-1015,done,2015-07-18 23:45:15.934+04,2015-07-18 23:47:11.523241+04,2015-07-18 23:55:50.918+04,0
,,,,,,,,,,,,,,,,,,,,,,9,Processing 1016-1016,done,2015-07-18 23:47:41.041759+04,2015-07-18 23:47:58.726114+04,2015-07-18 23:56:24.119+04,5
,,,,,,,,,,,,,,,,,,,,,,10,Processing 1017-1017,done,2015-07-19 07:22:51.173349+04,2015-07-19 07:25:24.778516+04,2015-07-19 07:35:26.858+04,12
,,,,,,,,,,,,,,,,,,,,,,11,Processing 1018-1018,done,2015-07-18 23:52:31.239848+04,2015-07-18 23:52:34.010062+04,2015-07-19 00:00:52.426+04,4
,,,,,,,,,,,,,,,,,,,,,,12,Processing 1019-1019,done,2015-07-18 23:52:31.234+04,2015-07-18 23:52:58.457176+04,2015-07-19 00:00:51.833+04,0
,,,,,,,,,,,,,,,,,,,,,,13,Processing 1020-1020,done,2015-07-18 23:52:31.234+04,2015-07-18 23:53:37.218756+04,2015-07-19 00:02:27.613+04,0
,,,,,,,,,,,,,,,,,,,,,,14,Processing 1021-1021,done,2015-07-18 23:54:56.333244+04,2015-07-18 23:55:36.122707+04,2015-07-19 00:03:58.536+04,5
,,,,,,,,,,,,,,,,,,,,,,15,Processing 1022-1022,done,2015-07-18 23:54:56.33+04,2015-07-18 23:55:50.92342+04,2015-07-19 00:05:31.382+04,0
,,,,,,,,,,,,,,,,,,,,,,16,Processing 1023-1023,done,2015-07-18 23:54:56.33+04,2015-07-18 23:56:24.103639+04,2015-07-19 00:04:58.522+04,0
,,,,,,,,,,,,,,,,,,,,,,17,Processing 1024-1024,done,2015-07-19 01:36:30.727315+04,2015-07-19 01:37:06.285287+04,2015-07-19 01:45:52.709+04,8
,,,,,,,,,,,,,,,,,,,,,,18,Processing 1025-1025,done,2015-07-18 23:59:46.539095+04,2015-07-19 00:00:51.833477+04,2015-07-19 00:10:01.298+04,4
,,,,,,,,,,,,,,,,,,,,,,19,Processing 1026-1026,done,2015-07-18 23:59:46.533+04,2015-07-19 00:00:52.429152+04,2015-07-19 00:09:08.835+04,0
,,,,,,,,,,,,,,,,,,,,,,20,Processing 1027-1027,done,2015-07-19 00:02:11.632949+04,2015-07-19 00:02:27.612955+04,2015-07-19 00:10:40.041+04,5
,,,,,,,,,,,,,,,,,,,,,,21,Processing 1028-1028,done,2015-07-19 00:02:11.629+04,2015-07-19 00:03:58.541404+04,2015-07-19 00:12:27.952+04,0
,,,,,,,,,,,,,,,,,,,,,,22,Processing 1029-1029,done,2015-07-19 01:36:30.723+04,2015-07-19 01:37:08.768876+04,2015-07-19 01:45:11.134+04,6
,,,,,,,,,,,,,,,,,,,,,,23,Processing 1030-1030,done,2015-07-19 00:04:36.732+04,2015-07-19 00:05:31.386322+04,2015-07-19 00:15:28.848+04,0
,,,,,,,,,,,,,,,,,,,,,,24,Processing 1031-1031,done,2015-07-19 00:04:36.732+04,2015-07-19 00:06:07.117018+04,2015-07-19 00:14:40.53+04,0
,,,,,,,,,,,,,,,,,,,,,,25,Processing 1032-1032,done,2015-07-19 00:04:36.732+04,2015-07-19 00:06:07.850008+04,2015-07-19 00:15:54.353+04,0
,,,,,,,,,,,,,,,,,,,,,,26,Processing 1033-1033,done,2015-07-19 00:07:01.835995+04,2015-07-19 00:09:08.837159+04,2015-07-19 00:17:29.243+04,5
,,,,,,,,,,,,,,,,,,,,,,27,Processing 1034-1034,done,2015-07-19 00:07:01.829+04,2015-07-19 00:09:11.999421+04,2015-07-19 00:17:28.475+04,0
,,,,,,,,,,,,,,,,,,,,,,28,Processing 1035-1035,done,2015-07-19 00:09:26.932457+04,2015-07-19 00:10:01.297344+04,2015-07-19 00:19:03.748+04,5
,,,,,,,,,,,,,,,,,,,,,,29,Processing 1036-1036,done,2015-07-19 00:09:26.927+04,2015-07-19 00:10:40.040662+04,2015-07-19 00:19:45.469+04,0
,,,,,,,,,,,,,,,,,,,,,,30,Processing 1037-1037,done,2015-07-19 00:11:52.04975+04,2015-07-19 00:12:04.837431+04,2015-07-19 00:20:15.23+04,5
,,,,,,,,,,,,,,,,,,,,,,31,Processing 1038-1038,done,2015-07-19 00:11:52.043+04,2015-07-19 00:12:27.955402+04,2015-07-19 00:20:48.368+04,0
,,,,,,,,,,,,,,,,,,,,,,32,Processing 1039-1039,done,2015-07-19 00:11:52.043+04,2015-07-19 00:13:39.114082+04,2015-07-19 00:21:44.532+04,0
,,,,,,,,,,,,,,,,,,,,,,33,Processing 1040-1040,done,2015-07-19 00:11:52.043+04,2015-07-19 00:14:08.904959+04,2015-07-19 00:23:06.368+04,0
,,,,,,,,,,,,,,,,,,,,,,34,Processing 1041-1041,done,2015-07-19 00:14:17.148641+04,2015-07-19 00:14:40.53331+04,2015-07-19 00:23:03.988+04,5
,,,,,,,,,,,,,,,,,,,,,,35,Processing 1042-1042,done,2015-07-19 00:14:17.145+04,2015-07-19 00:15:28.867519+04,2015-07-19 00:25:38.323+04,0
,,,,,,,,,,,,,,,,,,,,,,36,Processing 1043-1043,done,2015-07-19 00:14:17.145+04,2015-07-19 00:15:54.352527+04,2015-07-19 00:24:59.802+04,0
,,,,,,,,,,,,,,,,,,,,,,37,Processing 1044-1044,done,2015-07-19 00:16:42.251772+04,2015-07-19 00:17:28.477662+04,2015-07-19 00:25:20.89+04,5
